prod_rate_bin prod_rate

125.62814070351759 3.3804730963604706e-07
376.88442211055275 3.4818872892512846e-05
628.1407035175879 4.9777466343907936e-05
879.3969849246231 4.7495647003864606e-05
1130.6532663316582 4.724211152163759e-05
1381.9095477386934 4.9354907206862864e-05
1633.1658291457286 5.0031001826134956e-05
1884.4221105527638 4.9692954516498906e-05
2135.678391959799 5.6453900709219906e-05
2386.934673366834 5.1721238374315195e-05
2638.190954773869 5.6791948018855894e-05
2889.4472361809044 5.831316091221811e-05
3140.7035175879396 6.177814583598759e-05
3391.959798994975 6.034144477003439e-05
3643.21608040201 6.490508345012103e-05
3894.472361809045 6.583471355162015e-05
4145.72864321608 7.056737588652494e-05
4396.984924623115 6.862360385611754e-05
4648.24120603015 7.33562661910222e-05
4899.497487437186 6.989128126725272e-05
5150.753768844221 7.521552639402047e-05
5402.010050251256 7.40323608102943e-05
5653.266331658291 8.180744893192339e-05
5904.522613065326 7.969465324669808e-05
6155.778894472362 7.98636769015161e-05
6407.035175879397 8.637108761201e-05
6658.291457286432 8.890644243428035e-05
6909.547738693467 8.442731558160274e-05
7160.804020100502 8.104684248524226e-05
7412.060301507538 8.645559943941903e-05
7663.316582914573 8.755425319573617e-05
7914.572864321608 8.662462309423704e-05
8165.829145728643 8.772327685055451e-05
8417.085427135677 8.958253705355246e-05
8668.341708542714 8.637108761201e-05
8919.597989949747 8.324414999787658e-05
9170.854271356784 8.34131736526946e-05
9422.110552763817 7.673673928738267e-05
9673.366834170854 8.113135431265129e-05
9924.623115577888 8.104684248524226e-05
10175.879396984925 7.935660593706205e-05
10427.135678391958 7.217310060729604e-05
10678.391959798995 7.470845542956639e-05
10929.648241206029 7.377882532806727e-05
11180.904522613066 6.372191786639486e-05
11432.160804020099 6.929969847538964e-05
11683.417085427136 6.498959527753004e-05
11934.67336683417 6.220070497303266e-05
12185.929648241206 5.6876459846264917e-05
12437.18592964824 5.197477385654223e-05
12688.442211055277 5.265086847581432e-05
12939.69849246231 4.918588355204484e-05
13190.954773869347 4.639699324754745e-05
13442.21105527638 4.3777126597868085e-05
13693.467336683418 4.310103197859599e-05
13944.723618090451 3.972055888223553e-05
14195.979899497488 3.701618040514715e-05
14447.236180904521 3.439631375546779e-05
14698.492462311558 3.059328152206226e-05
14949.748743718592 2.5522571877521552e-05
15201.005025125629 2.1804051471525033e-05
15452.261306532662 1.9860279441117764e-05
15703.5175879397 1.9522232131481714e-05
15954.773869346733 1.7662971928483457e-05
16206.03015075377 1.2676774111351764e-05
16457.286432160803 1.352189238544198e-05
16708.54271356784 1.183165583726156e-05
16959.798994974873 8.282159086083211e-06
17211.055276381907 7.098993502356937e-06
17462.311557788944 5.070709644540742e-06
17713.56783919598 3.972055888223523e-06
17964.824120603014 4.9861978171317295e-06
18216.080402010048 3.2114494415424233e-06
18467.336683417085 2.6198666496793833e-06
18718.59296482412 2.7888903044973677e-06
18969.849246231155 1.1831655837261731e-06
19221.10552763819 1.0141419289081337e-06
19472.361809045226 8.451182740901237e-07
19723.618090452263 6.760946192720892e-07
19974.874371859296 4.225591370450619e-07
20226.13065326633 3.380473096360446e-07
